SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_6,adm2_3,adm2_2,adm2_7,adm2_4,adm2_8,adm2_1,adm2_5
13,5224,1,28,8,5,NA,NA,3135,0,6,1,0,0,0,0,0,0,0
22,6638,1,32,31,3,NA,NA,2463,0,3,0,1,0,0,0,0,0,0
45,3469,1,51,20,1,NA,NA,2073,1,3,0,1,0,0,0,0,0,0
143,4597,1,35,23,2,NA,NA,1635,0,2,0,0,1,0,0,0,0,0
153,3424,1,29,25,5,NA,NA,2337,0,6,1,0,0,0,0,0,0,0
176,3862,1,40,25,3,NA,NA,1838,0,2,0,0,1,0,0,0,0,0
198,6940,1,62,27,2,NA,NA,844,0,7,0,0,0,1,0,0,0,0
212,11693,1,38,22,4,NA,NA,3516,0,3,0,1,0,0,0,0,0,0
318,11275,1,45,29,5,NA,NA,1883,0,4,0,0,0,0,1,0,0,0
329,7139,1,50,4,5,NA,NA,1343,0,4,0,0,0,0,1,0,0,0
340,10359,1,67,25,3,NA,NA,1969,0,2,0,0,1,0,0,0,0,0
350,9327,1,21,18,3,NA,NA,766,0,8,0,0,0,0,0,1,0,0
363,11475,1,58,3,2,NA,NA,1629,0,4,0,0,0,0,1,0,0,0
371,8927,1,49,24,3,NA,NA,3324,0,3,0,1,0,0,0,0,0,0
478,3218,1,80,21,6,NA,NA,1240,0,2,0,0,1,0,0,0,0,0
496,10211,1,36,30,2,NA,NA,1881,0,3,0,1,0,0,0,0,0,0
555,459,1,40,14,5,NA,NA,2360,0,1,0,0,0,0,0,0,1,0
575,3176,1,19,20,5,NA,NA,1107,0,8,0,0,0,0,0,1,0,0
579,5606,1,30,27,7,NA,NA,663,1,5,0,0,0,0,0,0,0,1
612,8370,1,32,2,2,NA,NA,692,0,4,0,0,0,0,1,0,0,0
670,5339,1,25,14,4,NA,NA,2556,0,7,0,0,0,1,0,0,0,0
674,6515,1,31,17,5,NA,NA,2703,0,5,0,0,0,0,0,0,0,1
697,3270,1,50,18,6,NA,NA,2420,0,5,0,0,0,0,0,0,0,1
815,1988,1,42,13,7,NA,NA,3175,1,5,0,0,0,0,0,0,0,1
