SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,WEEKEND,adm2_,adm2_9,adm2_7,adm2_3,adm2_1,adm2_8,adm2_2,adm2_5,adm2_4,adm2_6,adm2_10
2,5570,1,55,5,38,307,17.6,10.869999999999997,0,9,1,0,0,0,0,0,0,0,0,0
10,5300,2,18,31,37,277,16.439999999999998,10.459999999999999,0,7,0,1,0,0,0,0,0,0,0,0
11,3126,1,28,13,22,87,4.56,5.039999999999999,0,3,0,0,1,0,0,0,0,0,0,0
16,11115,1,23,6,24,145,10.36,5.55,0,9,1,0,0,0,0,0,0,0,0,0
17,799,1,39,30,70,94,8.02,5.729999999999999,0,1,0,0,0,1,0,0,0,0,0,0
20,1497,2,60,10,18,119,15.420000000000002,6.479999999999999,0,9,1,0,0,0,0,0,0,0,0,0
40,5770,1,21,14,1424,222,16.050000000000004,9.25,0,8,0,0,0,0,1,0,0,0,0,0
41,9638,1,45,19,597,52,16.810000000000002,4.96,0,2,0,0,0,0,0,1,0,0,0,0
49,8336,2,32,4,23,172,13.350000000000001,9.33,0,5,0,0,0,0,0,0,1,0,0,0
52,8578,2,25,19,26,258,19.000000000000004,8.870000000000003,0,4,0,0,0,0,0,0,0,1,0,0
64,11210,2,19,2,695,142,11.049999999999999,5.22,0,6,0,0,0,0,0,0,0,0,1,0
73,4112,1,30,9,31,442,26.629999999999995,17,0,7,0,1,0,0,0,0,0,0,0,0
85,2279,2,35,28,20,225,26.040000000000003,12.02,0,1,0,0,0,1,0,0,0,0,0,0
92,5941,2,20,8,39,282,11.26,8.39,0,7,0,1,0,0,0,0,0,0,0,0
127,725,1,45,4,89,194,22.259999999999998,10.92,0,1,0,0,0,1,0,0,0,0,0,0
131,5342,2,38,27,73,175,17.41,9.489999999999998,0,4,0,0,0,0,0,0,0,1,0,0
138,11871,1,18,9,18,110,9.76,7.19,0,10,0,0,0,0,0,0,0,0,0,1
147,1505,2,18,3,27,125,11.45,7.579999999999998,0,5,0,0,0,0,0,0,1,0,0,0
156,6897,2,24,28,24,116,9.15,7.249999999999999,0,3,0,0,1,0,0,0,0,0,0,0
163,8301,2,43,18,18,372,13.54,6.16,0,8,0,0,0,0,1,0,0,0,0,0
