SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY.x,WEEK_DAY,PREG_LACT.x,BREASTFEEDING.x,sum_VITA_RAE_mcg,CONSUMPTION_DAY.y,PREG_LACT.y,BREASTFEEDING.y,sum_FOLDFE_mcg,CONSUMPTION_DAY.x.x,PREG_LACT.x.x,BREASTFEEDING.x.x,sum_IRON_mg,CONSUMPTION_DAY.y.y,PREG_LACT.y.y,BREASTFEEDING.y.y,sum_ZINC_mg,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_VITB12_mcg,WEEKEND,adm2_,adm2_2,adm2_4,adm2_3,adm2_5,adm2_7,adm2_6,adm2_11,adm2_10,adm2_8,adm2_1,adm2_9
42,591,1,25,23,4,NA,NA,82,23,NA,NA,169,23,NA,NA,11.9,23,NA,NA,7.6899999999999995,23,NA,NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0
82,9307,1,40,29,3,NA,NA,9,29,NA,NA,125,29,NA,NA,11.489999999999998,29,NA,NA,7.44,29,NA,NA,0.45,0,4,0,1,0,0,0,0,0,0,0,0,0
103,10684,1,53,22,3,NA,NA,178,22,NA,NA,288,22,NA,NA,11.11,22,NA,NA,8.8,22,NA,NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0
145,10220,1,51,30,4,NA,NA,2049,30,NA,NA,273,30,NA,NA,33.57,30,NA,NA,7.91,30,NA,NA,0,0,3,0,0,1,0,0,0,0,0,0,0,0
160,10839,1,22,12,5,NA,NA,46,12,NA,NA,148,12,NA,NA,9.740000000000002,12,NA,NA,7.1000000000000005,12,NA,NA,0,0,5,0,0,0,1,0,0,0,0,0,0,0
213,8918,1,38,3,5,NA,NA,4338,3,NA,NA,246,3,NA,NA,19.480000000000004,3,NA,NA,10.679999999999998,3,NA,NA,0,0,7,0,0,0,0,1,0,0,0,0,0,0
322,2093,1,36,29,4,NA,NA,23,29,NA,NA,211,29,NA,NA,11.83,29,NA,NA,6.97,29,NA,NA,0,0,6,0,0,0,0,0,1,0,0,0,0,0
404,5187,1,30,16,1,NA,NA,85,16,NA,NA,237,16,NA,NA,12.26,16,NA,NA,8.620000000000001,16,NA,NA,0,1,11,0,0,0,0,0,0,1,0,0,0,0
417,412,1,40,17,5,NA,NA,7,17,NA,NA,128,17,NA,NA,8.6,17,NA,NA,7.539999999999999,17,NA,NA,2,0,10,0,0,0,0,0,0,0,1,0,0,0
475,222,1,48,19,3,NA,NA,7,19,NA,NA,152,19,NA,NA,12.02,19,NA,NA,10.139999999999999,19,NA,NA,0,0,8,0,0,0,0,0,0,0,0,1,0,0
535,6358,1,20,22,1,NA,NA,20,22,NA,NA,139,22,NA,NA,13.16,22,NA,NA,7.45,22,NA,NA,0,1,1,0,0,0,0,0,0,0,0,0,1,0
556,2743,1,18,27,3,NA,NA,118,27,NA,NA,182,27,NA,NA,9.49,27,NA,NA,7.43,27,NA,NA,0.639,0,3,0,0,1,0,0,0,0,0,0,0,0
639,3222,1,65,25,3,NA,NA,2,25,NA,NA,40,25,NA,NA,6.21,25,NA,NA,3.01,25,NA,NA,3.32,0,6,0,0,0,0,0,1,0,0,0,0,0
653,2518,1,55,9,6,NA,NA,38,9,NA,NA,188,9,NA,NA,9.43,9,NA,NA,7.140000000000001,9,NA,NA,0,0,3,0,0,1,0,0,0,0,0,0,0,0
662,9184,1,65,24,7,NA,NA,37,24,NA,NA,305,24,NA,NA,12.75,24,NA,NA,9.62,24,NA,NA,0,1,5,0,0,0,1,0,0,0,0,0,0,0
690,5162,1,65,24,5,NA,NA,9,24,NA,NA,192,24,NA,NA,8.719999999999999,24,NA,NA,8.379999999999999,24,NA,NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0
691,4668,1,35,2,1,NA,NA,58,2,NA,NA,175,2,NA,NA,16.39,2,NA,NA,9.209999999999999,2,NA,NA,2.3316,1,1,0,0,0,0,0,0,0,0,0,1,0
723,3896,1,36,10,7,NA,NA,646,10,NA,NA,80,10,NA,NA,17.249999999999996,10,NA,NA,7.0600000000000005,10,NA,NA,0,1,3,0,0,1,0,0,0,0,0,0,0,0
