SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,WEEK_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_4,adm2_3,adm2_7,adm2_6,adm2_2,adm2_1,adm2_10,adm2_5,adm2_8,adm2_9,adm2_11
24,6371,2,47,25,6,1,NA,2286,0,4,1,0,0,0,0,0,0,0,0,0,0
61,1708,2,75,14,3,0,NA,1595,0,3,0,1,0,0,0,0,0,0,0,0,0
155,3557,2,68,16,1,0,NA,2578,1,7,0,0,1,0,0,0,0,0,0,0,0
167,9860,2,34,24,7,1,NA,1641,1,7,0,0,1,0,0,0,0,0,0,0,0
170,4552,2,31,5,6,1,NA,1289,0,6,0,0,0,1,0,0,0,0,0,0,0
171,9523,2,37,24,5,1,NA,2371,0,4,1,0,0,0,0,0,0,0,0,0,0
235,456,2,34,28,6,1,NA,2276,0,2,0,0,0,0,1,0,0,0,0,0,0
237,2805,2,22,26,3,1,NA,952,0,1,0,0,0,0,0,1,0,0,0,0,0
305,1121,2,48,11,5,1,NA,976,0,10,0,0,0,0,0,0,1,0,0,0,0
336,5483,2,49,22,7,1,NA,1201,1,7,0,0,1,0,0,0,0,0,0,0,0
434,309,2,50,17,7,0,NA,2602,1,5,0,0,0,0,0,0,0,1,0,0,0
461,9950,2,63,23,4,0,NA,2003,0,8,0,0,0,0,0,0,0,0,1,0,0
490,11321,2,36,22,5,1,NA,1360,0,6,0,0,0,1,0,0,0,0,0,0,0
491,8783,2,49,13,3,1,NA,1377,0,1,0,0,0,0,0,1,0,0,0,0,0
547,8118,2,36,22,4,1,NA,1095,0,9,0,0,0,0,0,0,0,0,0,1,0
550,3702,2,35,10,6,1,NA,537,0,9,0,0,0,0,0,0,0,0,0,1,0
669,11525,2,36,18,3,1,NA,1280,0,7,0,0,1,0,0,0,0,0,0,0,0
682,6876,2,61,20,1,0,NA,1939,1,2,0,0,0,0,1,0,0,0,0,0,0
779,660,2,28,23,4,1,NA,2826,0,8,0,0,0,0,0,0,0,0,1,0,0
865,3740,2,21,30,1,1,NA,1324,1,2,0,0,0,0,1,0,0,0,0,0,0
934,11282,2,50,20,5,0,NA,1382,0,7,0,0,1,0,0,0,0,0,0,0,0
940,9399,2,74,16,1,0,NA,1148,1,7,0,0,1,0,0,0,0,0,0,0,0
944,8057,2,30,15,6,1,NA,2174,0,5,0,0,0,0,0,0,0,1,0,0,0
978,10166,2,36,27,3,1,NA,2165,0,7,0,0,1,0,0,0,0,0,0,0,0
1012,536,2,26,20,2,1,NA,1671,0,9,0,0,0,0,0,0,0,0,0,1,0
1018,785,2,80,2,4,0,NA,2041,0,2,0,0,0,0,1,0,0,0,0,0,0
1035,8430,2,80,26,4,0,NA,572,0,10,0,0,0,0,0,0,1,0,0,0,0
1045,7692,2,40,17,6,1,NA,1748,0,3,0,1,0,0,0,0,0,0,0,0,0
1056,3240,2,65,18,4,0,NA,1103,0,6,0,0,0,1,0,0,0,0,0,0,0
1154,5294,2,42,19,7,1,NA,2547,1,2,0,0,0,0,1,0,0,0,0,0,0
1205,11623,2,64,8,3,0,NA,510,0,3,0,1,0,0,0,0,0,0,0,0,0
1206,6361,2,44,16,5,1,NA,3637,0,3,0,1,0,0,0,0,0,0,0,0,0
1207,8455,2,23,23,6,1,NA,1308,0,4,1,0,0,0,0,0,0,0,0,0,0
1299,11232,2,53,26,2,0,NA,2307,0,6,0,0,0,1,0,0,0,0,0,0,0
1333,8437,2,32,22,3,1,NA,834,0,1,0,0,0,0,0,1,0,0,0,0,0
1355,8982,2,60,28,6,0,NA,549,0,2,0,0,0,0,1,0,0,0,0,0,0
1361,2072,2,22,20,2,1,NA,1167,0,9,0,0,0,0,0,0,0,0,0,1,0
1426,744,2,66,22,4,0,NA,1144,0,9,0,0,0,0,0,0,0,0,0,1,0
1446,2464,2,30,8,3,1,NA,1627,0,3,0,1,0,0,0,0,0,0,0,0,0
1468,9610,2,29,15,3,1,NA,1763,0,3,0,1,0,0,0,0,0,0,0,0,0
1470,6766,2,68,20,5,0,NA,1127,0,7,0,0,1,0,0,0,0,0,0,0,0
1506,7783,2,69,8,3,0,NA,1584,0,6,0,0,0,1,0,0,0,0,0,0,0
1523,11207,2,61,18,4,0,NA,734,0,6,0,0,0,1,0,0,0,0,0,0,0
1563,3554,2,34,20,4,1,NA,1914,0,9,0,0,0,0,0,0,0,0,0,1,0
1602,5554,2,52,21,6,0,NA,498,0,10,0,0,0,0,0,0,1,0,0,0,0
1606,8146,2,58,10,5,0,NA,1162,0,6,0,0,0,1,0,0,0,0,0,0,0
