SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_1,adm2_6,adm2_2,adm2_7,adm2_4,adm2_3,adm2_5,adm2_8
26,3569,2,35,16,155,143,7.27,6.4,NA,0,1,1,0,0,0,0,0,0,0
77,7911,2,35,24,30,156,9.98,7.09,NA,0,6,0,1,0,0,0,0,0,0
118,4896,2,70,9,126,170,6.62,6.89,NA,0,2,0,0,1,0,0,0,0,0
123,1977,2,49,28,446,176,13.82,5.279999999999999,NA,0,1,1,0,0,0,0,0,0,0
125,10033,2,20,18,3016,96,11.969999999999997,6.63,NA,0,7,0,0,0,1,0,0,0,0
184,7697,2,66,1,23,62,3.0999999999999996,3.7699999999999996,NA,1,4,0,0,0,0,1,0,0,0
193,560,2,25,23,64,69,3.6100000000000003,4.74,NA,0,3,0,0,0,0,0,1,0,0
194,5157,2,21,22,47,79,6.079999999999999,5.7299999999999995,NA,0,1,1,0,0,0,0,0,0,0
210,2572,2,40,24,360,103,9.949999999999998,6.539999999999999,NA,0,3,0,0,0,0,0,1,0,0
220,9066,2,21,17,220,192,11.539999999999997,8.719999999999997,NA,0,7,0,0,0,1,0,0,0,0
222,7318,2,19,13,19,85,6.64,5.13,NA,0,5,0,0,0,0,0,0,1,0
233,7107,2,20,22,122,74,3.9299999999999997,4.8500000000000005,NA,0,2,0,0,1,0,0,0,0,0
258,6500,2,35,16,357,77,9.17,4.39,NA,0,1,1,0,0,0,0,0,0,0
270,11773,2,40,22,3,93,5.37,5.54,NA,0,1,1,0,0,0,0,0,0,0
299,9723,2,36,15,139,195,7.64,9.149999999999999,NA,0,8,0,0,0,0,0,0,0,1
303,9595,2,60,30,88,67,3.92,4.82,NA,0,4,0,0,0,0,1,0,0,0
312,5519,2,65,27,56,31,0.8600000000000001,0.38,NA,0,4,0,0,0,0,1,0,0,0
365,5795,2,40,29,66,132,6.03,7.510000000000001,NA,0,5,0,0,0,0,0,0,1,0
373,188,2,19,19,96,111,6.620000000000001,5.109999999999999,NA,0,5,0,0,0,0,0,0,1,0
392,6587,2,28,26,2,57,3.23,3.96,NA,0,4,0,0,0,0,1,0,0,0
469,10929,2,65,22,0,24,1.8200000000000003,2.8699999999999997,NA,0,3,0,0,0,0,0,1,0,0
502,5976,2,23,13,108,172,12.200000000000001,6.5200000000000005,NA,0,8,0,0,0,0,0,0,0,1
512,2135,2,50,21,3499,112,7.63,10.2,NA,0,3,0,0,0,0,0,1,0,0
519,2680,2,27,13,87,82,3.6,3.0199999999999996,NA,0,8,0,0,0,0,0,0,0,1
522,671,2,22,24,746,100,7.38,4.72,NA,0,6,0,1,0,0,0,0,0,0
533,1085,2,42,24,24,135,8.269999999999998,7.680000000000001,NA,0,8,0,0,0,0,0,0,0,1
538,1487,2,42,5,502,196,12.94,8.259999999999998,NA,0,4,0,0,0,0,1,0,0,0
543,5433,2,26,15,247,227,14.779999999999998,14.040000000000001,NA,0,5,0,0,0,0,0,0,1,0
568,8636,2,26,9,154,87,5.66,5.1000000000000005,NA,0,5,0,0,0,0,0,0,1,0
577,5584,2,30,7,109,191,10.399999999999999,9.53,NA,1,8,0,0,0,0,0,0,0,1
595,4440,2,36,21,58,207,12.15,5.839999999999999,NA,0,5,0,0,0,0,0,0,1,0
617,6784,2,20,15,29,44,3.61,3.769999999999999,NA,0,6,0,1,0,0,0,0,0,0
695,5614,2,24,21,24,54,2.04,2.5,NA,0,2,0,0,1,0,0,0,0,0
760,11654,2,49,23,5,37,1.8800000000000001,2.36,NA,0,6,0,1,0,0,0,0,0,0
829,7091,2,30,5,11,139,5.699999999999999,6.3100000000000005,NA,0,4,0,0,0,0,1,0,0,0
843,8778,2,35,29,183,69,3.27,3.66,NA,0,2,0,0,1,0,0,0,0,0
848,7545,2,32,26,22,61,3.4000000000000004,2.8799999999999994,NA,0,7,0,0,0,1,0,0,0,0
853,1348,2,19,11,251,64,9.030000000000001,6.42,NA,0,4,0,0,0,0,1,0,0,0
859,5530,2,29,23,1,41,2.99,2.8699999999999997,NA,0,5,0,0,0,0,0,0,1,0
867,2696,2,18,24,3,32,1.96,3.1,NA,0,3,0,0,0,0,0,1,0,0
873,4913,2,21,24,43,64,3.1700000000000004,2.849999999999999,NA,0,4,0,0,0,0,1,0,0,0
881,9531,2,29,19,123,80,6.59,7.19,NA,0,2,0,0,1,0,0,0,0,0
887,10185,2,28,18,152,80,4.23,4.46,NA,0,1,1,0,0,0,0,0,0,0
896,5804,2,18,18,18,39,1.53,1.99,NA,0,5,0,0,0,0,0,0,1,0
901,3108,2,37,18,218,229,11.450000000000001,10.89,NA,0,3,0,0,0,0,0,1,0,0
908,10202,2,48,16,21,186,11.229999999999999,8.959999999999999,NA,0,7,0,0,0,1,0,0,0,0
915,8512,2,74,13,0,9,0.67,1.14,NA,0,8,0,0,0,0,0,0,0,1
917,6571,2,80,31,12,38,2.09,3.25,NA,0,4,0,0,0,0,1,0,0,0
927,9541,2,20,23,464,683,8.55,6.94,NA,0,7,0,0,0,1,0,0,0,0
995,5714,2,25,29,1562,286,19.799999999999997,15.920000000000002,NA,0,4,0,0,0,0,1,0,0,0
1008,1059,2,29,21,85,103,4.55,5.59,NA,0,2,0,0,1,0,0,0,0,0
1066,7220,2,45,23,269,316,7.699999999999999,7.2799999999999985,NA,0,7,0,0,0,1,0,0,0,0
1107,2368,2,66,6,21,54,2.9,3.6099999999999994,NA,0,4,0,0,0,0,1,0,0,0
1120,10949,2,48,27,599,185,9.16,6.26,NA,0,2,0,0,1,0,0,0,0,0
1150,4378,2,45,19,61,119,3.63,4.02,NA,0,5,0,0,0,0,0,0,1,0
1241,10033,2,22,18,2142,296,11.81,5.949999999999999,NA,0,7,0,0,0,1,0,0,0,0
1262,1758,2,25,2,15,130,8.109999999999998,10.729999999999997,NA,0,4,0,0,0,0,1,0,0,0
1313,7271,2,60,18,93,119,7.18,6.769999999999999,NA,0,1,1,0,0,0,0,0,0,0
1315,11084,2,35,23,91,121,11.96,10.16,NA,0,2,0,0,1,0,0,0,0,0
1322,10937,2,45,27,25,151,34.959999999999994,9.97,NA,0,6,0,1,0,0,0,0,0,0
1399,1413,2,25,22,255,219,12.349999999999998,9.36,NA,0,8,0,0,0,0,0,0,0,1
1422,11330,2,38,24,59,198,9.239999999999998,7.18,NA,0,3,0,0,0,0,0,1,0,0
1436,6160,2,45,16,7,90,5.31,5.119999999999998,NA,0,1,1,0,0,0,0,0,0,0
1443,9224,2,25,10,76,140,10.520000000000001,9.229999999999999,NA,0,1,1,0,0,0,0,0,0,0
1487,6458,2,31,29,132,115,5.789999999999999,7.409999999999998,NA,0,1,1,0,0,0,0,0,0,0
1511,8610,2,42,10,70,74,3.81,3.25,NA,0,1,1,0,0,0,0,0,0,0
