SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_14,adm2_15,adm2_12,adm2_1,adm2_3,adm2_8,adm2_10,adm2_11,adm2_4,adm2_13,adm2_7,adm2_2,adm2_5,adm2_6
7,534,2,40,25,58,137,12.69,8.05,NA,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,11252,2,33,17,55,93,7.9399999999999995,5.55,NA,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1857,2,65,8,42,63,4.930000000000001,2.8000000000000003,NA,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
114,1540,2,31,17,29,76,2.849999999999999,2.489999999999999,NA,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,11875,2,42,17,117,136,52.56000000000001,6.009999999999999,NA,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
128,9229,2,35,27,109,68,4.599999999999999,3.3899999999999997,NA,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
152,11707,2,26,19,26,104,5.8999999999999995,6.24,NA,0,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
209,2038,2,27,18,151,197,8.47,6.46,NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
215,3064,2,35,1,761,146,8.29,4.49,NA,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
223,10329,2,62,29,129,250,10.969999999999999,7.389999999999997,NA,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,588,2,56,27,34,124,19.169999999999998,4.89,NA,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
249,10407,2,47,3,18,91,4.36,3.6899999999999995,NA,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
253,2289,2,55,29,85,143,9.59,5.919999999999999,NA,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
295,8019,2,35,31,114,184,8.97,6.1499999999999995,NA,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
316,1531,2,27,30,55,662,6.21,4.98,NA,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
337,7761,2,28,6,60,109,6.7799999999999985,5.529999999999999,NA,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
