SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_2,adm2_7,adm2_10,adm2_5,adm2_6,adm2_4
2,5570,1,55,5,38,307,17.6,10.869999999999997,0,0,9,1,0,0,0,0,0,0,0,0,0
11,3126,1,28,13,22,87,4.56,5.039999999999999,0,0,3,0,1,0,0,0,0,0,0,0,0
16,11115,1,23,6,24,145,10.36,5.55,0,0,9,1,0,0,0,0,0,0,0,0,0
17,799,1,39,30,70,94,8.02,5.729999999999999,0.44190000000000007,0,1,0,0,1,0,0,0,0,0,0,0
40,5770,1,21,14,1424,222,16.050000000000004,9.25,1.68,0,8,0,0,0,1,0,0,0,0,0,0
41,9638,1,45,19,597,52,16.810000000000002,4.96,0,0,2,0,0,0,0,1,0,0,0,0,0
73,4112,1,30,9,31,442,26.629999999999995,17,0,0,7,0,0,0,0,0,1,0,0,0,0
127,725,1,45,4,89,194,22.259999999999998,10.92,0,0,1,0,0,1,0,0,0,0,0,0,0
138,11871,1,18,9,18,110,9.76,7.19,0.9,0,10,0,0,0,0,0,0,1,0,0,0
205,3516,1,45,23,77,212,14.43,11.450000000000001,3.1879999999999997,0,5,0,0,0,0,0,0,0,1,0,0
271,4288,1,60,18,59,169,9.04,9.079999999999998,0,0,3,0,1,0,0,0,0,0,0,0,0
361,10054,1,21,26,26,266,9.98,6.989999999999999,0,0,2,0,0,0,0,1,0,0,0,0,0
389,2942,1,55,24,776,235,16.34,7.859999999999999,0.972,0,6,0,0,0,0,0,0,0,0,1,0
456,8790,1,33,15,101,321,23.629999999999995,9.479999999999999,1.8,0,8,0,0,0,1,0,0,0,0,0,0
470,226,1,68,21,15,89,7.4,3.98,0.684,0,3,0,1,0,0,0,0,0,0,0,0
479,4107,1,23,13,84,330,11.73,9.07,0.234,0,3,0,1,0,0,0,0,0,0,0,0
516,6441,1,23,27,37,192,18.67,12.889999999999999,1.683,0,4,0,0,0,0,0,0,0,0,0,1
545,3374,1,60,30,15,53,6.52,4.53,0.484,0,2,0,0,0,0,1,0,0,0,0,0
601,9319,1,40,5,34,316,27.799999999999997,14.78,0.8748,0,1,0,0,1,0,0,0,0,0,0,0
608,5678,1,19,26,13,94,3.57,2.6999999999999997,0,0,2,0,0,0,0,1,0,0,0,0,0
800,320,1,60,3,16,148,13.049999999999999,6.129999999999999,0,0,7,0,0,0,0,0,1,0,0,0,0
863,9693,1,35,20,21,139,16.490000000000002,10.909999999999998,0,0,4,0,0,0,0,0,0,0,0,0,1
925,689,1,55,3,20,133,11.32,7.68,0.14400000000000002,0,9,1,0,0,0,0,0,0,0,0,0
947,11209,1,26,27,134,54,3.6700000000000004,3.5599999999999996,0.5489999999999999,0,3,0,1,0,0,0,0,0,0,0,0
967,11074,1,22,23,292,138,8.999999999999998,6.15,0,0,5,0,0,0,0,0,0,0,1,0,0
1000,7199,1,26,30,973,243,26.610000000000003,13.030000000000001,0,0,1,0,0,1,0,0,0,0,0,0,0
1039,9434,1,35,14,29,324,17.79,12.589999999999996,0,0,7,0,0,0,0,0,1,0,0,0,0
1185,50,1,50,23,11,208,9.779999999999998,5.26,0.18,0,6,0,0,0,0,0,0,0,0,1,0
1197,1603,1,65,6,22,187,20,9.46,2.5380000000000003,0,1,0,0,1,0,0,0,0,0,0,0
1249,2882,1,36,6,32,229,12.379999999999999,8.77,1.683,0,9,1,0,0,0,0,0,0,0,0,0
