SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_1,adm2_5,adm2_2,adm2_8,adm2_4,adm2_7,adm2_6,adm2_3
23,4964,1,60,13,NA,NA,2605,0,1,1,0,0,0,0,0,0,0
43,4100,1,18,1,NA,NA,1696,1,5,0,1,0,0,0,0,0,0
111,5657,1,25,17,NA,NA,1820,0,1,1,0,0,0,0,0,0,0
189,5054,1,47,23,NA,NA,1590,0,2,0,0,1,0,0,0,0,0
273,7074,1,19,19,NA,NA,1006,0,8,0,0,0,1,0,0,0,0
304,7041,1,26,9,NA,NA,1865,0,2,0,0,1,0,0,0,0,0
372,8596,1,50,13,NA,NA,2744,0,4,0,0,0,0,1,0,0,0
401,5153,1,45,3,NA,NA,2052,0,2,0,0,1,0,0,0,0,0
511,1986,1,70,23,NA,NA,1536,0,4,0,0,0,0,1,0,0,0
532,1715,1,50,22,NA,NA,2162,0,2,0,0,1,0,0,0,0,0
604,9363,1,40,19,NA,NA,2211,0,7,0,0,0,0,0,1,0,0
626,8946,1,34,3,NA,NA,2041,0,5,0,1,0,0,0,0,0,0
633,3294,1,28,25,NA,NA,1933,0,1,1,0,0,0,0,0,0,0
640,11169,1,29,15,NA,NA,2683,0,6,0,0,0,0,0,0,1,0
716,8528,1,23,18,NA,NA,4006,0,6,0,0,0,0,0,0,1,0
718,8413,1,52,21,NA,NA,1692,0,4,0,0,0,0,1,0,0,0
844,11389,1,30,22,NA,NA,2082,0,4,0,0,0,0,1,0,0,0
879,8067,1,45,17,NA,NA,1159,0,3,0,0,0,0,0,0,0,1
893,771,1,23,16,NA,NA,2212,0,1,1,0,0,0,0,0,0,0
945,4419,1,21,19,NA,NA,2312,0,4,0,0,0,0,1,0,0,0
958,2125,1,32,22,NA,NA,1897,0,5,0,1,0,0,0,0,0,0
1036,7902,1,55,24,NA,NA,1800,0,2,0,0,1,0,0,0,0,0
1038,11144,1,18,13,NA,NA,1697,0,3,0,0,0,0,0,0,0,1
1069,10464,1,55,22,NA,NA,3193,0,4,0,0,0,0,1,0,0,0
1178,329,1,40,21,NA,NA,1967,0,2,0,0,1,0,0,0,0,0
1230,7361,1,65,22,NA,NA,1180,0,2,0,0,1,0,0,0,0,0
1271,2002,1,26,29,NA,NA,1674,0,6,0,0,0,0,0,0,1,0
1282,10048,1,18,16,NA,NA,1781,0,5,0,1,0,0,0,0,0,0
1356,1940,1,19,22,NA,NA,1973,0,2,0,0,1,0,0,0,0,0
1370,4737,1,47,24,NA,NA,3053,0,8,0,0,0,1,0,0,0,0
1378,10827,1,30,21,NA,NA,1783,0,3,0,0,0,0,0,0,0,1
1451,4596,1,30,9,NA,NA,2354,0,7,0,0,0,0,0,1,0,0
1457,1192,1,63,22,NA,NA,1450,0,7,0,0,0,0,0,1,0,0
1526,10616,1,35,10,NA,NA,2094,0,7,0,0,0,0,0,1,0,0
1557,11261,1,60,20,NA,NA,1457,0,1,1,0,0,0,0,0,0,0
1634,9320,1,37,20,NA,NA,2364,0,2,0,0,1,0,0,0,0,0
1636,7536,1,25,25,NA,NA,1432,0,4,0,0,0,0,1,0,0,0
1664,9139,1,49,22,NA,NA,1164,0,2,0,0,1,0,0,0,0,0
1697,6748,1,55,17,NA,NA,1503,0,1,1,0,0,0,0,0,0,0
1798,11758,1,27,16,NA,NA,1959,0,5,0,1,0,0,0,0,0,0
1806,11568,1,23,13,NA,NA,2376,0,1,1,0,0,0,0,0,0,0
1904,2433,1,18,11,NA,NA,1094,0,5,0,1,0,0,0,0,0,0
1923,992,1,28,6,NA,NA,2194,0,2,0,0,1,0,0,0,0,0
1937,10769,1,21,5,NA,NA,1580,0,2,0,0,1,0,0,0,0,0
1973,4616,1,40,23,NA,NA,2445,0,2,0,0,1,0,0,0,0,0
2057,10609,1,18,21,NA,NA,2282,0,2,0,0,1,0,0,0,0,0
2079,1408,1,70,27,NA,NA,1943,0,5,0,1,0,0,0,0,0,0
2089,6613,1,35,3,NA,NA,1945,0,2,0,0,1,0,0,0,0,0
2136,7448,1,23,18,NA,NA,1895,0,6,0,0,0,0,0,0,1,0
2145,6220,1,55,24,NA,NA,2094,0,8,0,0,0,1,0,0,0,0
2265,4099,1,40,20,NA,NA,1988,0,4,0,0,0,0,1,0,0,0
2480,169,1,26,16,NA,NA,2263,0,5,0,1,0,0,0,0,0,0
2549,769,1,25,27,NA,NA,1432,0,5,0,1,0,0,0,0,0,0
2558,2916,1,35,13,NA,NA,1132,0,3,0,0,0,0,0,0,0,1
2568,6586,1,58,17,NA,NA,1573,0,3,0,0,0,0,0,0,0,1
