SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_9,adm2_3,adm2_1,adm2_8,adm2_2,adm2_7,adm2_10,adm2_5,adm2_6,adm2_4
2,5570,1,55,5,NA,NA,2113,0,9,1,0,0,0,0,0,0,0,0,0
11,3126,1,28,13,NA,NA,1521,0,3,0,1,0,0,0,0,0,0,0,0
16,11115,1,23,6,NA,NA,1031,0,9,1,0,0,0,0,0,0,0,0,0
17,799,1,39,30,NA,NA,1099,0,1,0,0,1,0,0,0,0,0,0,0
40,5770,1,21,14,NA,NA,1269,0,8,0,0,0,1,0,0,0,0,0,0
41,9638,1,45,19,NA,NA,1598,0,2,0,0,0,0,1,0,0,0,0,0
73,4112,1,30,9,NA,NA,2571,0,7,0,0,0,0,0,1,0,0,0,0
127,725,1,45,4,NA,NA,1713,0,1,0,0,1,0,0,0,0,0,0,0
138,11871,1,18,9,NA,NA,1154,0,10,0,0,0,0,0,0,1,0,0,0
205,3516,1,45,23,NA,NA,2446,0,5,0,0,0,0,0,0,0,1,0,0
271,4288,1,60,18,NA,NA,2620,0,3,0,1,0,0,0,0,0,0,0,0
361,10054,1,21,26,NA,NA,1266,0,2,0,0,0,0,1,0,0,0,0,0
389,2942,1,55,24,NA,NA,1200,0,6,0,0,0,0,0,0,0,0,1,0
456,8790,1,33,15,NA,NA,1250,0,8,0,0,0,1,0,0,0,0,0,0
470,226,1,68,21,NA,NA,1367,0,3,0,1,0,0,0,0,0,0,0,0
479,4107,1,23,13,NA,NA,1971,0,3,0,1,0,0,0,0,0,0,0,0
516,6441,1,23,27,NA,NA,1900,0,4,0,0,0,0,0,0,0,0,0,1
545,3374,1,60,30,NA,NA,1178,0,2,0,0,0,0,1,0,0,0,0,0
601,9319,1,40,5,NA,NA,2456,0,1,0,0,1,0,0,0,0,0,0,0
608,5678,1,19,26,NA,NA,537,0,2,0,0,0,0,1,0,0,0,0,0
800,320,1,60,3,NA,NA,1261,0,7,0,0,0,0,0,1,0,0,0,0
863,9693,1,35,20,NA,NA,1312,0,4,0,0,0,0,0,0,0,0,0,1
925,689,1,55,3,NA,NA,1325,0,9,1,0,0,0,0,0,0,0,0,0
947,11209,1,26,27,NA,NA,1439,0,3,0,1,0,0,0,0,0,0,0,0
967,11074,1,22,23,NA,NA,1556,0,5,0,0,0,0,0,0,0,1,0,0
1000,7199,1,26,30,NA,NA,2129,0,1,0,0,1,0,0,0,0,0,0,0
1039,9434,1,35,14,NA,NA,2071,0,7,0,0,0,0,0,1,0,0,0,0
1185,50,1,50,23,NA,NA,1045,0,6,0,0,0,0,0,0,0,0,1,0
