SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_7,adm2_9,adm2_5,adm2_4,adm2_6,adm2_1,adm2_3,adm2_8,adm2_2,adm2_10
10,5300,2,18,31,1,NA,1441,0,7,1,0,0,0,0,0,0,0,0,0
20,1497,2,60,10,NA,NA,1269,0,9,0,1,0,0,0,0,0,0,0,0
49,8336,2,32,4,1,NA,2125,0,5,0,0,1,0,0,0,0,0,0,0
52,8578,2,25,19,1,NA,1539,0,4,0,0,0,1,0,0,0,0,0,0
64,11210,2,19,2,1,NA,923,0,6,0,0,0,0,1,0,0,0,0,0
85,2279,2,35,28,1,NA,1753,0,1,0,0,0,0,0,1,0,0,0,0
92,5941,2,20,8,1,NA,1465,0,7,1,0,0,0,0,0,0,0,0,0
131,5342,2,38,27,1,NA,1559,0,4,0,0,0,1,0,0,0,0,0,0
147,1505,2,18,3,2,NA,1773,0,5,0,0,1,0,0,0,0,0,0,0
156,6897,2,24,28,2,NA,1688,0,3,0,0,0,0,0,0,1,0,0,0
163,8301,2,43,18,1,NA,1239,0,8,0,0,0,0,0,0,0,1,0,0
195,5005,2,28,24,2,NA,1231,0,1,0,0,0,0,0,1,0,0,0,0
211,6836,2,38,6,1,NA,1535,0,1,0,0,0,0,0,1,0,0,0,0
236,3374,2,48,30,1,NA,1049,0,2,0,0,0,0,0,0,0,0,1,0
254,3766,2,25,21,1,NA,1540,0,3,0,0,0,0,0,0,1,0,0,0
269,11629,2,35,27,1,NA,1346,0,1,0,0,0,0,0,1,0,0,0,0
308,6061,2,23,3,3,NA,1919,0,5,0,0,1,0,0,0,0,0,0,0
325,4767,2,30,24,1,NA,1500,0,6,0,0,0,0,1,0,0,0,0,0
335,9905,2,53,23,NA,NA,1195,0,10,0,0,0,0,0,0,0,0,0,1
399,50,2,24,23,1,NA,1012,0,6,0,0,0,0,1,0,0,0,0,0
424,8676,2,27,16,1,NA,2285,0,9,0,1,0,0,0,0,0,0,0,0
425,413,2,76,19,NA,NA,688,0,8,0,0,0,0,0,0,0,1,0,0
427,3100,2,27,22,2,NA,1110,0,4,0,0,0,1,0,0,0,0,0,0
428,4236,2,20,26,1,NA,2236,0,1,0,0,0,0,0,1,0,0,0,0
440,11209,2,21,27,1,NA,1487,0,3,0,0,0,0,0,0,1,0,0,0
447,2312,2,30,5,1,NA,1334,0,5,0,0,1,0,0,0,0,0,0,0
460,682,2,45,25,1,NA,1353,0,1,0,0,0,0,0,1,0,0,0,0
476,4644,2,45,7,1,NA,1981,1,1,0,0,0,0,0,1,0,0,0,0
493,841,2,45,9,1,NA,1465,0,7,1,0,0,0,0,0,0,0,0,0
551,1093,2,53,2,NA,NA,1625,0,8,0,0,0,0,0,0,0,1,0,0
581,11756,2,35,2,1,NA,1617,0,1,0,0,0,0,0,1,0,0,0,0
594,5239,2,30,12,1,NA,1384,0,7,1,0,0,0,0,0,0,0,0,0
616,2933,2,31,21,1,NA,2217,0,1,0,0,0,0,0,1,0,0,0,0
636,799,2,68,30,NA,NA,1804,0,1,0,0,0,0,0,1,0,0,0,0
657,6631,2,34,2,1,NA,1397,0,1,0,0,0,0,0,1,0,0,0,0
659,11291,2,24,12,3,NA,1782,0,7,1,0,0,0,0,0,0,0,0,0
672,5607,2,38,29,1,NA,1546,0,5,0,0,1,0,0,0,0,0,0,0
687,6914,2,90,8,NA,NA,890,0,7,1,0,0,0,0,0,0,0,0,0
710,7126,2,45,6,1,NA,2202,0,5,0,0,1,0,0,0,0,0,0,0
720,7077,2,55,25,NA,NA,1326,0,5,0,0,1,0,0,0,0,0,0,0
724,3994,2,45,17,1,NA,2024,0,2,0,0,0,0,0,0,0,0,1,0
731,9556,2,40,16,1,NA,1296,0,8,0,0,0,0,0,0,0,1,0,0
788,11074,2,42,23,1,NA,780,0,5,0,0,1,0,0,0,0,0,0,0
851,10808,2,55,22,NA,NA,909,0,4,0,0,0,1,0,0,0,0,0,0
