SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,PREG_LACT,BREASTFEEDING,sum_ENERGY_kcal,WEEKEND,adm2_,adm2_2,adm2_6,adm2_3,adm2_7,adm2_8,adm2_1,adm2_4,adm2_5
38,6121,1,37,14,NA,NA,1512,0,2,1,0,0,0,0,0,0,0
79,6012,1,22,30,NA,NA,1072,0,6,0,1,0,0,0,0,0,0
97,3580,1,38,29,NA,NA,2539,0,3,0,0,1,0,0,0,0,0
120,10453,1,40,19,NA,NA,1898,0,7,0,0,0,1,0,0,0,0
149,4663,1,54,19,NA,NA,2265,0,8,0,0,0,0,1,0,0,0
201,1672,1,58,10,NA,NA,1251,0,1,0,0,0,0,0,1,0,0
214,5356,1,50,19,NA,NA,2195,0,3,0,0,1,0,0,0,0,0
289,9067,1,19,21,NA,NA,943,0,8,0,0,0,0,1,0,0,0
315,3161,1,23,24,NA,NA,1424,0,3,0,0,1,0,0,0,0,0
405,10174,1,53,9,NA,NA,1927,0,4,0,0,0,0,0,0,1,0
466,8223,1,20,11,NA,NA,1222,0,8,0,0,0,0,1,0,0,0
580,1744,1,36,6,NA,NA,1274,0,6,0,1,0,0,0,0,0,0
600,156,1,40,28,NA,NA,1485,0,6,0,1,0,0,0,0,0,0
611,3285,1,26,3,NA,NA,1100,0,7,0,0,0,1,0,0,0,0
632,8919,1,36,12,NA,NA,1384,0,8,0,0,0,0,1,0,0,0
642,1409,1,65,27,NA,NA,1578,0,4,0,0,0,0,0,0,1,0
658,8017,1,52,26,NA,NA,1587,0,7,0,0,0,1,0,0,0,0
767,1495,1,19,1,NA,NA,1265,1,6,0,1,0,0,0,0,0,0
778,10763,1,55,9,NA,NA,2170,0,4,0,0,0,0,0,0,1,0
824,1845,1,28,28,NA,NA,2307,0,3,0,0,1,0,0,0,0,0
895,5860,1,30,9,NA,NA,1121,0,8,0,0,0,0,1,0,0,0
899,3733,1,43,28,NA,NA,1800,0,7,0,0,0,1,0,0,0,0
933,9696,1,65,10,NA,NA,1713,0,6,0,1,0,0,0,0,0,0
935,4589,1,53,12,NA,NA,1370,0,1,0,0,0,0,0,1,0,0
1070,3277,1,52,20,NA,NA,1317,0,8,0,0,0,0,1,0,0,0
1113,6916,1,40,13,NA,NA,1248,0,1,0,0,0,0,0,1,0,0
