SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_7,adm2_9,adm2_3,adm2_6,adm2_8,adm2_1,adm2_4,adm2_10,adm2_5,adm2_2
44,11566,1,21,8,55,299,20.990000000000002,13.64,1.035,0,7,1,0,0,0,0,0,0,0,0,0
65,5737,1,58,9,221,161,18.5,9.54,0.075,0,9,0,1,0,0,0,0,0,0,0,0
100,10449,1,25,18,50,231,28.87,14.41,1.9854000000000005,0,3,0,0,1,0,0,0,0,0,0,0
141,1029,1,60,24,10,155,18.67,10.379999999999999,2.0484,0,6,0,0,0,1,0,0,0,0,0,0
164,10142,1,65,19,26,42,2.96,2.3099999999999996,0,0,8,0,0,0,0,1,0,0,0,0,0
199,10493,1,65,8,85,291,22.7,15.43,6.4692,0,7,1,0,0,0,0,0,0,0,0,0
263,4882,1,55,22,97,184,25.290000000000003,11.12,5.1483,0,3,0,0,1,0,0,0,0,0,0,0
352,6504,1,18,10,111,258,33.089999999999996,14.189999999999998,2.9556000000000004,0,3,0,0,1,0,0,0,0,0,0,0
396,10541,1,50,9,47,140,22.970000000000002,8.469999999999999,0.18899999999999997,0,9,0,1,0,0,0,0,0,0,0,0
497,8890,1,48,1,28,104,15.889999999999999,7.159999999999999,0,1,9,0,1,0,0,0,0,0,0,0,0
517,2139,1,22,1,39,336,36.11000000000001,20.28,3.8025,1,6,0,0,0,1,0,0,0,0,0,0
523,3367,1,23,20,25,280,28.9,16.69,0.945,0,1,0,0,0,0,0,1,0,0,0,0
549,4066,1,30,4,26,258,27.110000000000003,19.93,6.0345,0,1,0,0,0,0,0,1,0,0,0,0
570,8256,1,50,26,43,678,19.89,13.989999999999998,0.8838000000000001,0,4,0,0,0,0,0,0,1,0,0,0
576,3784,1,21,2,1246,798,26.240000000000002,16.840000000000003,0.35730000000000006,0,8,0,0,0,0,1,0,0,0,0,0
597,7013,1,24,7,118,152,10.489999999999997,7.92,0.5013000000000001,1,7,1,0,0,0,0,0,0,0,0,0
607,6151,1,32,29,47,237,28.729999999999997,16.789999999999996,2.3778,0,6,0,0,0,1,0,0,0,0,0,0
667,3784,1,49,2,1177,741,28.740000000000002,18.55,0.5634,0,8,0,0,0,0,1,0,0,0,0,0
693,7013,1,45,7,146,179,13.769999999999998,10.629999999999997,1.0719,1,7,1,0,0,0,0,0,0,0,0,0
701,6046,1,38,28,84,293,26.259999999999998,18.740000000000002,2.5857,0,1,0,0,0,0,0,1,0,0,0,0
733,2209,1,22,4,58,236,14.78,8.449999999999998,0.5489999999999999,0,10,0,0,0,0,0,0,0,1,0,0
738,8762,1,42,30,184,230,15.41,12.550000000000002,1.6416,0,5,0,0,0,0,0,0,0,0,1,0
858,4117,1,40,9,60,186,20.630000000000006,8.33,0,0,9,0,1,0,0,0,0,0,0,0,0
890,8592,1,35,8,98,171,23.51,13.049999999999999,2.8890000000000002,0,10,0,0,0,0,0,0,0,1,0,0
962,2716,1,24,26,590,406,17.790000000000003,10.69,2.1420000000000003,0,4,0,0,0,0,0,0,1,0,0,0
968,4282,1,35,12,549,174,19.780000000000005,10.6,0.0169,0,7,1,0,0,0,0,0,0,0,0,0
1108,206,1,76,8,66,179,14.72,10.659999999999998,1.8729,0,10,0,0,0,0,0,0,0,1,0,0
1139,5556,1,34,10,78,191,18.57,11.02,0.6428,0,8,0,0,0,0,1,0,0,0,0,0
1148,5072,1,40,21,169,150,13.47,10.75,0.5625,0,10,0,0,0,0,0,0,0,1,0,0
1179,9297,1,28,7,712,334,45.84000000000001,23.06,5.4,1,3,0,0,1,0,0,0,0,0,0,0
1229,11497,1,68,23,66,125,11.73,7.57,2.7774,0,7,1,0,0,0,0,0,0,0,0,0
1243,4677,1,24,2,64,312,22.47,15.589999999999998,0.5489999999999999,0,8,0,0,0,0,1,0,0,0,0,0
1246,10842,1,26,7,148,532,18.009999999999998,12.91,0.9,1,5,0,0,0,0,0,0,0,0,1,0
1247,8425,1,55,21,35,96,4.15,3.9000000000000004,0.7218000000000001,0,8,0,0,0,0,1,0,0,0,0,0
1260,1592,1,66,31,70,355,29.299999999999997,15.299999999999999,0.4599,0,8,0,0,0,0,1,0,0,0,0,0
1263,1425,1,55,23,160,158,10.809999999999999,9.049999999999999,0.33390000000000003,0,8,0,0,0,0,1,0,0,0,0,0
1287,11081,1,60,22,27,212,13,10.03,0.8316000000000001,0,1,0,0,0,0,0,1,0,0,0,0
1310,4788,1,50,12,64,350,17.169999999999998,11.189999999999998,0.44190000000000007,0,7,1,0,0,0,0,0,0,0,0,0
1319,7988,1,28,30,103,258,15.91,12.14,0.6174,0,5,0,0,0,0,0,0,0,0,1,0
1357,1420,1,65,24,22,206,23.779999999999998,16.740000000000002,5.3100000000000005,0,6,0,0,0,1,0,0,0,0,0,0
1362,4911,1,35,6,59,188,23.349999999999998,10.879999999999999,6.8472,0,3,0,0,1,0,0,0,0,0,0,0
1368,9411,1,42,16,25,213,18.62,9.620000000000001,0.6759000000000001,0,3,0,0,1,0,0,0,0,0,0,0
1423,8069,1,70,8,67,273,25.61,17.869999999999994,1.3995000000000002,0,7,1,0,0,0,0,0,0,0,0,0
1441,126,1,24,26,54,205,15.889999999999999,11.1,0.32,0,1,0,0,0,0,0,1,0,0,0,0
1444,7549,1,60,19,732,144,21.499999999999996,8.63,0,0,10,0,0,0,0,0,0,0,1,0,0
1449,10230,1,52,7,506,103,18.499999999999996,4.529999999999999,0,1,9,0,1,0,0,0,0,0,0,0,0
1478,10230,1,32,7,394,75,13.760000000000002,3.35,0,1,9,0,1,0,0,0,0,0,0,0,0
1519,7267,1,22,14,45,116,8.159999999999998,7.169999999999999,0.1458,0,4,0,0,0,0,0,0,1,0,0,0
1522,5084,1,60,2,57,235,24.070000000000004,11.639999999999999,6.3658,0,2,0,0,0,0,0,0,0,0,0,1
1548,2540,1,27,3,55,163,15.56,6.999999999999998,0.6426000000000001,0,9,0,1,0,0,0,0,0,0,0,0
1573,10547,1,42,14,103,137,12.67,10.9,0.1521,0,7,1,0,0,0,0,0,0,0,0,0
1623,7504,1,30,23,27,57,3.59,2.87,0.666,0,8,0,0,0,0,1,0,0,0,0,0
1632,2977,1,27,6,118,320,29.639999999999997,13.839999999999998,0.5688,0,8,0,0,0,0,1,0,0,0,0,0
1763,3156,1,20,15,25,139,18.560000000000002,7.709999999999999,0.6174,0,3,0,0,1,0,0,0,0,0,0,0
1778,8934,1,26,22,113,132,11.549999999999999,8.48,0.589,0,4,0,0,0,0,0,0,1,0,0,0
1794,10099,1,32,17,43,226,37.75,15.87,5.562,0,3,0,0,1,0,0,0,0,0,0,0
1797,8283,1,47,24,71,161,14.360000000000001,7.880000000000001,1.8738000000000001,0,1,0,0,0,0,0,1,0,0,0,0
1814,7173,1,35,8,168,269,15.399999999999999,11.87,0.81,0,4,0,0,0,0,0,0,1,0,0,0
1819,8441,1,54,8,117,167,13.520000000000001,10.56,0.6543000000000001,0,4,0,0,0,0,0,0,1,0,0,0
1820,7861,1,44,19,43,168,10.309999999999999,9.839999999999998,0.2925,0,8,0,0,0,0,1,0,0,0,0,0
1885,8094,1,45,28,112,196,13.809999999999999,9.019999999999998,0.8109000000000001,0,1,0,0,0,0,0,1,0,0,0,0
1890,8235,1,28,8,34,173,15.68,11.75,0.9,0,10,0,0,0,0,0,0,0,1,0,0
1896,10263,1,40,5,119,298,15.379999999999997,11.83,0,0,5,0,0,0,0,0,0,0,0,1,0
1975,6950,1,50,15,86,179,11.139999999999999,10.809999999999999,0.7857000000000001,0,10,0,0,0,0,0,0,0,1,0,0
1982,8999,1,28,17,101,193,16.830000000000002,9.11,3.015,0,1,0,0,0,0,0,1,0,0,0,0
2017,10292,1,25,2,74,271,29.619999999999997,14.839999999999998,9.0774,0,2,0,0,0,0,0,0,0,0,0,1
2046,10909,1,38,3,31,78,3.75,0.89,0.108,0,2,0,0,0,0,0,0,0,0,0,1
2104,609,1,45,14,167,354,19.22,15.17,0.04,0,7,1,0,0,0,0,0,0,0,0,0
2122,5071,1,18,4,45,185,20.769999999999996,12.320000000000002,3.1059,0,1,0,0,0,0,0,1,0,0,0,0
2144,9796,1,74,12,111,251,21.700000000000003,16.149999999999995,0.738,0,5,0,0,0,0,0,0,0,0,1,0
2162,2041,1,24,20,70,267,35.779999999999994,16.269999999999996,7.9047,0,3,0,0,1,0,0,0,0,0,0,0
2235,2740,1,42,26,146,150,11.670000000000002,8.259999999999998,2.9825000000000004,0,2,0,0,0,0,0,0,0,0,0,1
2285,5229,1,50,24,45,193,20.11,11.63,1.2303,0,6,0,0,0,1,0,0,0,0,0,0
2305,7524,1,35,18,82,258,35.620000000000005,16.38,4.183199999999999,0,3,0,0,1,0,0,0,0,0,0,0
2323,11309,1,39,11,122,178,14.879999999999997,11.749999999999998,0.18,0,5,0,0,0,0,0,0,0,0,1,0
2337,7362,1,30,1,22,379,33.91,16.209999999999997,2.6936999999999998,1,6,0,0,0,1,0,0,0,0,0,0
2376,10959,1,30,7,86,104,7.610000000000001,6.8100000000000005,0.1782,1,5,0,0,0,0,0,0,0,0,1,0
2390,6002,1,50,6,154,464,21.89,13.239999999999998,0.05,0,7,1,0,0,0,0,0,0,0,0,0
2479,8805,1,70,24,87,400,26.279999999999998,19.490000000000002,4.869,0,4,0,0,0,0,0,0,1,0,0,0
2487,214,1,65,17,53,253,13.61,11.479999999999999,4.08,0,8,0,0,0,0,1,0,0,0,0,0
2499,10650,1,32,5,20,144,8.28,4.77,2.0376000000000003,0,1,0,0,0,0,0,1,0,0,0,0
2577,5964,1,37,3,70,289,21.459999999999997,12.07,0,0,9,0,1,0,0,0,0,0,0,0,0
2588,4089,1,35,4,159,227,17.63,14.469999999999999,3.231,0,3,0,0,1,0,0,0,0,0,0,0
2605,3173,1,28,3,35,240,26.96,12.02,0.7377,0,2,0,0,0,0,0,0,0,0,0,1
2619,3280,1,41,4,98,139,8.589999999999998,5.809999999999999,3.1167000000000002,0,10,0,0,0,0,0,0,0,1,0,0
2682,7452,1,23,4,158,263,21.13,13.829999999999998,1.3104,0,2,0,0,0,0,0,0,0,0,0,1
2692,4800,1,50,31,73,263,23.330000000000005,15.61,0.81,0,8,0,0,0,0,1,0,0,0,0,0
2720,10853,1,50,1,72,209,22.93,12.509999999999996,0.2916,1,5,0,0,0,0,0,0,0,0,1,0
2737,3178,1,47,7,73,162,10.829999999999998,4.62,0,1,1,0,0,0,0,0,1,0,0,0,0
2801,8359,1,25,1,1250,255,41.07,10.260000000000002,0.6426000000000001,1,5,0,0,0,0,0,0,0,0,1,0
2869,7028,1,25,6,81,211,21.099999999999998,11.78,0,0,7,1,0,0,0,0,0,0,0,0,0
2907,713,1,65,4,1286,227,38.22,17.26,0.09700000000000002,0,3,0,0,1,0,0,0,0,0,0,0
2919,4779,1,53,9,22,201,27.709999999999997,10.07,0,0,9,0,1,0,0,0,0,0,0,0,0
2970,2376,1,45,1,118,251,35.25000000000001,19.23,5.8545,1,6,0,0,0,1,0,0,0,0,0,0
3015,390,1,19,20,116,173,23.39,11.75,2.7234000000000003,0,7,1,0,0,0,0,0,0,0,0,0
3094,964,1,30,17,22,313,35.53999999999999,26.12,3.8025,0,1,0,0,0,0,0,1,0,0,0,0
3096,8433,1,65,8,112,228,26.880000000000003,17.14,8.6283,0,2,0,0,0,0,0,0,0,0,0,1
3150,9995,1,52,21,50,181,18.399999999999995,13.29,0.6651,0,10,0,0,0,0,0,0,0,1,0,0
3237,9601,1,45,14,117,130,14.61,10.679999999999998,0.0562,0,4,0,0,0,0,0,0,1,0,0,0
3260,1968,1,42,2,63,371,33.97,23.06000000000001,0.8370000000000001,0,8,0,0,0,0,1,0,0,0,0,0
3303,4779,1,27,9,22,201,27.71,10.069999999999999,0,0,9,0,1,0,0,0,0,0,0,0,0
3334,6362,1,30,11,19,160,20.660000000000004,9.879999999999999,0,0,9,0,1,0,0,0,0,0,0,0,0
3355,2078,1,21,8,98,128,7.8100000000000005,6.609999999999999,0.675,0,10,0,0,0,0,0,0,0,1,0,0
3416,7160,1,45,6,7,279,31.229999999999997,22.58,4.338900000000001,0,1,0,0,0,0,0,1,0,0,0,0
3434,2471,1,24,18,72,324,26.96,18.52,2.6919000000000004,0,7,1,0,0,0,0,0,0,0,0,0
3442,1862,1,39,17,112,211,34.53,14.379999999999997,2.3962,0,3,0,0,1,0,0,0,0,0,0,0
3446,8251,1,21,25,94,184,11.56,9.180000000000001,0.9,0,10,0,0,0,0,0,0,0,1,0,0
3491,1428,1,63,24,143,414,27.779999999999998,12.639999999999999,0.4095,0,4,0,0,0,0,0,0,1,0,0,0
3511,4769,1,70,12,100,247,14.780000000000001,10.679999999999998,2.7369000000000003,0,5,0,0,0,0,0,0,0,0,1,0
3536,5177,1,26,18,60,218,23.78,13.159999999999998,0.72,0,7,1,0,0,0,0,0,0,0,0,0
3555,7860,1,42,8,56,245,22.83,13.23,0.4446,0,7,1,0,0,0,0,0,0,0,0,0
3593,5787,1,47,29,101,239,24.06,17.359999999999996,2.2419,0,5,0,0,0,0,0,0,0,0,1,0
3599,9800,1,55,5,614,305,22.869999999999994,13.489999999999998,2.5344,0,7,1,0,0,0,0,0,0,0,0,0
3656,1880,1,40,4,34,258,27.43,18.51,1.6343999999999999,0,1,0,0,0,0,0,1,0,0,0,0
3681,7741,1,65,9,88,142,11.069999999999999,9.03,0.6543000000000001,0,4,0,0,0,0,0,0,1,0,0,0
3798,11037,1,31,29,80,143,17.340000000000003,12.439999999999998,2.25,0,5,0,0,0,0,0,0,0,0,1,0
3817,5219,1,27,4,181,180,14.95,12.83,0.0507,0,7,1,0,0,0,0,0,0,0,0,0
3858,2389,1,39,6,77,163,13.69,9.909999999999998,0.9369,0,10,0,0,0,0,0,0,0,1,0,0
3902,9714,1,45,28,1040,401,36.540000000000006,15.139999999999999,0.4095,0,5,0,0,0,0,0,0,0,0,1,0
3925,9019,1,35,15,104,260,37.87,16.109999999999996,1.8174000000000001,0,3,0,0,1,0,0,0,0,0,0,0
3989,8985,1,27,6,101,232,25.06,16.700000000000003,1.2542,0,2,0,0,0,0,0,0,0,0,0,1
4033,11604,1,47,24,76,266,11.75,8.59,0.585,0,4,0,0,0,0,0,0,1,0,0,0
4065,5238,1,19,16,144,154,11.849999999999998,7.509999999999999,0.1881,0,7,1,0,0,0,0,0,0,0,0,0
4104,10941,1,65,21,158,230,10.969999999999999,6.619999999999998,0.675,0,8,0,0,0,0,1,0,0,0,0,0
4145,10345,1,39,10,148,302,16.969999999999995,13.08,0.171,0,7,1,0,0,0,0,0,0,0,0,0
4171,206,1,39,8,67,209,18.139999999999997,13.289999999999997,2.7098999999999998,0,10,0,0,0,0,0,0,0,1,0,0
4254,6362,1,28,11,13,116,16.009999999999998,7.649999999999999,0,0,9,0,1,0,0,0,0,0,0,0,0
4261,3657,1,21,2,202,246,22.25,12.26,5.167,0,2,0,0,0,0,0,0,0,0,0,1
4262,8805,1,40,24,95,424,30.39,21.84,4.875,0,4,0,0,0,0,0,0,1,0,0,0
4324,9280,1,50,9,145,211,16.790000000000003,13.02,2.61,0,5,0,0,0,0,0,0,0,0,1,0
4456,1591,1,35,9,22,183,28.35,11.86,0.099,0,9,0,1,0,0,0,0,0,0,0,0
4472,1833,1,26,16,115,248,25.62,18.08,2.1936000000000004,0,7,1,0,0,0,0,0,0,0,0,0
4505,8907,1,28,6,97,388,14.54,9.45,0.0565,0,7,1,0,0,0,0,0,0,0,0,0
4592,5221,1,19,6,56,134,14.27,9.579999999999998,1.2744,0,2,0,0,0,0,0,0,0,0,0,1
4605,11680,1,50,15,30,297,24.930000000000007,16.5,0.7614,0,3,0,0,1,0,0,0,0,0,0,0
4646,4869,1,36,3,7,168,20.5,14.560000000000002,2.1312,0,6,0,0,0,1,0,0,0,0,0,0
4652,3850,1,30,7,43,263,36.25,15.52,3.9087,1,3,0,0,1,0,0,0,0,0,0,0
4662,9581,1,38,23,98,150,3.29,1.4100000000000001,0.655,0,1,0,0,0,0,0,1,0,0,0,0
4676,1300,1,40,3,119,93,9.459999999999999,2.68,0.08,0,2,0,0,0,0,0,0,0,0,0,1
4696,2192,1,50,28,19,84,5.17,5.2,0.8351999999999999,0,5,0,0,0,0,0,0,0,0,1,0
4758,6621,1,73,4,36,198,24.230000000000004,13.049999999999999,1.5309,0,10,0,0,0,0,0,0,0,1,0,0
4814,7274,1,30,29,306,315,17.2,12.549999999999999,3.7422,0,5,0,0,0,0,0,0,0,0,1,0
4828,9964,1,50,10,41,262,32.98,13.73,1.1889,0,3,0,0,1,0,0,0,0,0,0,0
4833,10861,1,40,22,187,188,15.690000000000001,8.15,4.645,0,3,0,0,1,0,0,0,0,0,0,0
4852,11192,1,51,16,120,186,29.43,11.86,8.9739,0,3,0,0,1,0,0,0,0,0,0,0
4863,1728,1,24,19,68,125,10.869999999999997,5.689999999999999,0.7146000000000001,0,1,0,0,0,0,0,1,0,0,0,0
4865,2045,1,60,4,134,329,39.4,18.479999999999997,4.4496,0,1,0,0,0,0,0,1,0,0,0,0
4875,6774,1,26,21,29,186,32.53000000000001,13.239999999999997,7.2963000000000005,0,3,0,0,1,0,0,0,0,0,0,0
4885,8249,1,60,30,1540,303,21.38,12.67,0.7992,0,5,0,0,0,0,0,0,0,0,1,0
4929,91,1,37,22,75,192,18.160000000000004,12.110000000000001,2.9699999999999998,0,1,0,0,0,0,0,1,0,0,0,0
4931,7827,1,18,12,26,146,16.23,8.880000000000003,94.4617,0,7,1,0,0,0,0,0,0,0,0,0
5011,8316,1,28,31,196,426,38.489999999999995,16.490000000000002,0.5409,0,5,0,0,0,0,0,0,0,0,1,0
5080,1117,1,58,25,151,256,20.32,14.020000000000001,0.675,0,10,0,0,0,0,0,0,0,1,0,0
5084,2930,1,22,12,16,129,11.689999999999998,5.089999999999999,0.29340000000000005,0,9,0,1,0,0,0,0,0,0,0,0
5088,10132,1,24,24,143,256,12.84,8.79,0.4941,0,5,0,0,0,0,0,0,0,0,1,0
5112,10774,1,48,6,104,294,30.959999999999994,17.260000000000005,1.0098,0,3,0,0,1,0,0,0,0,0,0,0
5125,6033,1,36,28,120,348,18.069999999999997,12.020000000000001,0.6759000000000001,0,5,0,0,0,0,0,0,0,0,1,0
5159,4341,1,38,24,112,205,14.949999999999998,13.2,2.34,0,7,1,0,0,0,0,0,0,0,0,0
5184,1445,1,69,23,87,114,6.13,3.9400000000000004,0.72,0,1,0,0,0,0,0,1,0,0,0,0
5199,11161,1,36,30,311,653,42.85,26.43,2.7809999999999997,0,2,0,0,0,0,0,0,0,0,0,1
5215,10791,1,28,4,459,467,16.45,9.86,0.5489999999999999,0,8,0,0,0,0,1,0,0,0,0,0
