SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_3,adm2_8,adm2_11,adm2_6,adm2_9,adm2_2,adm2_4,adm2_1,adm2_10,adm2_7,adm2_5
56,626,1,53,14,12,33,7.22,3.14,4.4544,0,3,1,0,0,0,0,0,0,0,0,0,0
66,2639,1,39,18,72,1180,10.68,6.110000000000001,4.812399999999999,0,8,0,1,0,0,0,0,0,0,0,0,0
154,6637,1,70,15,61,3607,8.52,6.340000000000001,16.43,0,11,0,0,1,0,0,0,0,0,0,0,0
252,6171,1,50,4,51,1670,14.17,8.39,15.309199999999997,0,6,0,0,0,1,0,0,0,0,0,0,0
291,882,1,35,18,33,1157,2.76,2.3400000000000003,6.8413699999999995,0,8,0,1,0,0,0,0,0,0,0,0,0
296,6722,1,30,22,24,1056,5.379999999999999,3.959999999999999,4.452,0,8,0,1,0,0,0,0,0,0,0,0,0
321,2072,1,51,20,90,3215,7.93,6.289999999999999,14.681,0,9,0,0,0,0,1,0,0,0,0,0,0
351,5294,1,45,19,57,1290,17.359999999999996,11.049999999999997,9.675,0,2,0,0,0,0,0,1,0,0,0,0,0
394,2180,1,32,16,267,901,8.959999999999999,6.14,7.8885000000000005,0,4,0,0,0,0,0,0,1,0,0,0,0
423,8382,1,33,19,33,899,12.08,3.9400000000000004,8.14725,0,11,0,0,1,0,0,0,0,0,0,0,0
441,9026,1,63,14,104,205,7.540000000000001,6.719999999999999,0.7075,0,4,0,0,0,0,0,0,1,0,0,0,0
498,7219,1,69,21,12,944,3.8899999999999997,2.94,4.759399999999999,0,1,0,0,0,0,0,0,0,1,0,0,0
542,10278,1,55,11,32,2667,8.1,6.289999999999999,11.988599999999998,0,10,0,0,0,0,0,0,0,0,1,0,0
562,1649,1,23,20,43,2446,9.98,6.709999999999999,10.8226,0,1,0,0,0,0,0,0,0,1,0,0,0
