SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_7,adm2_9,adm2_5,adm2_4,adm2_6,adm2_1,adm2_3,adm2_8,adm2_2,adm2_10
10,5300,2,18,31,37,277,16.439999999999998,10.459999999999999,NA,0,7,1,0,0,0,0,0,0,0,0,0
20,1497,2,60,10,18,119,15.420000000000002,6.479999999999999,NA,0,9,0,1,0,0,0,0,0,0,0,0
49,8336,2,32,4,23,172,13.350000000000001,9.33,NA,0,5,0,0,1,0,0,0,0,0,0,0
52,8578,2,25,19,26,258,19.000000000000004,8.870000000000003,NA,0,4,0,0,0,1,0,0,0,0,0,0
64,11210,2,19,2,695,142,11.049999999999999,5.22,NA,0,6,0,0,0,0,1,0,0,0,0,0
85,2279,2,35,28,20,225,26.040000000000003,12.02,NA,0,1,0,0,0,0,0,1,0,0,0,0
92,5941,2,20,8,39,282,11.26,8.39,NA,0,7,1,0,0,0,0,0,0,0,0,0
131,5342,2,38,27,73,175,17.41,9.489999999999998,NA,0,4,0,0,0,1,0,0,0,0,0,0
147,1505,2,18,3,27,125,11.45,7.579999999999998,NA,0,5,0,0,1,0,0,0,0,0,0,0
156,6897,2,24,28,24,116,9.15,7.249999999999999,NA,0,3,0,0,0,0,0,0,1,0,0,0
163,8301,2,43,18,18,372,13.54,6.16,NA,0,8,0,0,0,0,0,0,0,1,0,0
195,5005,2,28,24,24,140,19.72,8.209999999999999,NA,0,1,0,0,0,0,0,1,0,0,0,0
211,6836,2,38,6,12,92,9.36,3.92,NA,0,1,0,0,0,0,0,1,0,0,0,0
236,3374,2,48,30,13,31,3.57,2.779999999999999,NA,0,2,0,0,0,0,0,0,0,0,1,0
254,3766,2,25,21,29,176,9.07,6.27,NA,0,3,0,0,0,0,0,0,1,0,0,0
269,11629,2,35,27,18,139,17.2,7.82,NA,0,1,0,0,0,0,0,1,0,0,0,0
308,6061,2,23,3,1255,177,19.02,9.660000000000004,NA,0,5,0,0,1,0,0,0,0,0,0,0
325,4767,2,30,24,32,94,5.09,5.339999999999999,NA,0,6,0,0,0,0,1,0,0,0,0,0
335,9905,2,53,23,16,92,10.520000000000001,6.409999999999999,NA,0,10,0,0,0,0,0,0,0,0,0,1
399,50,2,24,23,10,194,9.429999999999998,5.539999999999999,NA,0,6,0,0,0,0,1,0,0,0,0,0
424,8676,2,27,16,34,352,22.500000000000004,13.65,NA,0,9,0,1,0,0,0,0,0,0,0,0
425,413,2,76,19,92,79,7.72,4.53,NA,0,8,0,0,0,0,0,0,0,1,0,0
427,3100,2,27,22,108,149,14.33,6.469999999999999,NA,0,4,0,0,0,1,0,0,0,0,0,0
428,4236,2,20,26,302,382,38.02,15.869999999999997,NA,0,1,0,0,0,0,0,1,0,0,0,0
440,11209,2,21,27,122,51,3.3,3.7299999999999995,NA,0,3,0,0,0,0,0,0,1,0,0,0
447,2312,2,30,5,36,99,7.269999999999999,5.339999999999999,NA,0,5,0,0,1,0,0,0,0,0,0,0
460,682,2,45,25,32,197,11.440000000000001,6.76,NA,0,1,0,0,0,0,0,1,0,0,0,0
476,4644,2,45,7,30,187,22.930000000000007,11.049999999999999,NA,1,1,0,0,0,0,0,1,0,0,0,0
493,841,2,45,9,28,113,8.95,6.779999999999999,NA,0,7,1,0,0,0,0,0,0,0,0,0
551,1093,2,53,2,72,152,11.350000000000001,6.23,NA,0,8,0,0,0,0,0,0,0,1,0,0
581,11756,2,35,2,34,177,19.700000000000003,11.499999999999998,NA,0,1,0,0,0,0,0,1,0,0,0,0
594,5239,2,30,12,40,118,9.14,6.8100000000000005,NA,0,7,1,0,0,0,0,0,0,0,0,0
616,2933,2,31,21,1074,282,37.849999999999994,16.29,NA,0,1,0,0,0,0,0,1,0,0,0,0
636,799,2,68,30,95,169,20.51,10,NA,0,1,0,0,0,0,0,1,0,0,0,0
657,6631,2,34,2,290,188,11.76,7.58,NA,0,1,0,0,0,0,0,1,0,0,0,0
659,11291,2,24,12,35,248,18.28,11.239999999999998,NA,0,7,1,0,0,0,0,0,0,0,0,0
672,5607,2,38,29,48,142,9.12,6.18,NA,0,5,0,0,1,0,0,0,0,0,0,0
687,6914,2,90,8,16,86,7.6,4.829999999999999,NA,0,7,1,0,0,0,0,0,0,0,0,0
710,7126,2,45,6,65,216,16.080000000000002,8.82,NA,0,5,0,0,1,0,0,0,0,0,0,0
720,7077,2,55,25,15,71,8.319999999999999,4.47,NA,0,5,0,0,1,0,0,0,0,0,0,0
724,3994,2,45,17,269,112,15.81,8.540000000000001,NA,0,2,0,0,0,0,0,0,0,0,1,0
731,9556,2,40,16,47,104,10.360000000000001,6.67,NA,0,8,0,0,0,0,0,0,0,1,0,0
