SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_1,adm2_7,adm2_4,adm2_10,adm2_9,adm2_2,adm2_6,adm2_11,adm2_5,adm2_8,adm2_3
5,4713,2,70,13,296,173,10.13,5.73,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6,3753,2,43,21,2550,184,19.660000000000004,6.81,0.15200000000000002,0,7,0,1,0,0,0,0,0,0,0,0,0
29,3924,2,25,2,3,112,10.5,8.85,0,0,1,1,0,0,0,0,0,0,0,0,0,0
36,4131,2,18,18,180,295,9.84,6.6099999999999985,0.37800000000000006,0,7,0,1,0,0,0,0,0,0,0,0,0
72,4590,2,55,9,119,325,13.180000000000001,9.11,0,0,4,0,0,1,0,0,0,0,0,0,0,0
98,3972,2,35,17,15,177,8.079999999999998,6.029999999999999,4.28,0,10,0,0,0,1,0,0,0,0,0,0,0
102,7677,2,30,13,2215,134,13.819999999999999,7.19,0,0,9,0,0,0,0,1,0,0,0,0,0,0
185,7133,2,50,29,58,261,16.110000000000003,11.04,0.297,0,4,0,0,1,0,0,0,0,0,0,0,0
275,5074,2,21,10,2814,146,11.01,6.68,0,0,9,0,0,0,0,1,0,0,0,0,0,0
281,5285,2,35,17,62,173,7.319999999999999,7.07,1.89,0,4,0,0,1,0,0,0,0,0,0,0,0
287,284,2,43,17,144,341,16.229999999999997,9.88,0,0,4,0,0,1,0,0,0,0,0,0,0,0
293,7817,2,62,24,110,330,16.1,11.269999999999998,2.07,0,2,0,0,0,0,0,1,0,0,0,0,0
297,850,2,19,19,39,201,13.749999999999998,10.44,0.9,0,7,0,1,0,0,0,0,0,0,0,0,0
306,8598,2,26,2,54,712,11.280000000000001,6.9399999999999995,1.225,0,1,1,0,0,0,0,0,0,0,0,0,0
324,9928,2,19,29,23,99,6.17,6.469999999999999,0,0,6,0,0,0,0,0,0,1,0,0,0,0
393,1056,2,50,2,4843,206,11.54,12,5.07,0,9,0,0,0,0,1,0,0,0,0,0,0
421,10277,2,65,30,61,245,13.76,9.27,0.558,0,6,0,0,0,0,0,0,1,0,0,0,0
436,10523,2,55,23,88,183,13.720000000000002,6.509999999999999,4.531,0,11,0,0,0,0,0,0,0,1,0,0,0
