SUBJECT,HOUSEHOLD,SEX,AGE_YEAR,CONSUMPTION_DAY,sum_VITA_RAE_mcg,sum_FOLDFE_mcg,sum_IRON_mg,sum_ZINC_mg,sum_VITB12_mcg,WEEKEND,adm2_,adm2_2,adm2_6,adm2_3,adm2_7,adm2_8,adm2_1,adm2_4,adm2_5
38,6121,1,37,14,4,145,9.309999999999999,6.91,0,0,2,1,0,0,0,0,0,0,0
79,6012,1,22,30,16,161,10.059999999999999,6.87,0,0,6,0,1,0,0,0,0,0,0
97,3580,1,38,29,203,112,29.21,8.020000000000001,2.5970000000000004,0,3,0,0,1,0,0,0,0,0
120,10453,1,40,19,306,374,22.48,11.86,1.75,0,7,0,0,0,1,0,0,0,0
149,4663,1,54,19,380,293,21.580000000000002,10.04,5.4463,0,8,0,0,0,0,1,0,0,0
201,1672,1,58,10,36,124,5.449999999999999,3.96,0,0,1,0,0,0,0,0,1,0,0
214,5356,1,50,19,158,126,15.459999999999999,8.03,0,0,3,0,0,1,0,0,0,0,0
289,9067,1,19,21,0,34,2.67,2.96,0,0,8,0,0,0,0,1,0,0,0
315,3161,1,23,24,12,53,6.880000000000001,5.04,1.3125,0,3,0,0,1,0,0,0,0,0
405,10174,1,53,9,58,125,10.15,6.75,0,0,4,0,0,0,0,0,0,1,0
466,8223,1,20,11,1,78,8.409999999999998,5.82,0,0,8,0,0,0,0,1,0,0,0
580,1744,1,36,6,5,72,6.18,4.26,0,0,6,0,1,0,0,0,0,0,0
600,156,1,40,28,37,81,8.149999999999999,4.800000000000001,2,0,6,0,1,0,0,0,0,0,0
611,3285,1,26,3,3,106,6.699999999999999,4.5200000000000005,0,0,7,0,0,0,1,0,0,0,0
632,8919,1,36,12,1,95,9.67,7.470000000000001,0,0,8,0,0,0,0,1,0,0,0
642,1409,1,65,27,30,86,10.96,6.84,3.7860000000000005,0,4,0,0,0,0,0,0,1,0
658,8017,1,52,26,2,76,6.7700000000000005,4.9799999999999995,0.08,0,7,0,0,0,1,0,0,0,0
767,1495,1,19,1,18,98,11.5,6.42,1.069,1,6,0,1,0,0,0,0,0,0
778,10763,1,55,9,311,186,8.89,7.309999999999999,2.115,0,4,0,0,0,0,0,0,1,0
824,1845,1,28,28,671,181,31.099999999999994,10.199999999999998,4.375,0,3,0,0,1,0,0,0,0,0
895,5860,1,30,9,730,38,3.17,3.47,0,0,8,0,0,0,0,1,0,0,0
899,3733,1,43,28,27,159,8.039999999999997,6.419999999999999,0,0,7,0,0,0,1,0,0,0,0
933,9696,1,65,10,1,106,6.090000000000001,5.51,0,0,6,0,1,0,0,0,0,0,0
935,4589,1,53,12,0,94,9.799999999999997,6.33,2.115,0,1,0,0,0,0,0,1,0,0
1070,3277,1,52,20,1984,75,9.09,4.91,0,0,8,0,0,0,0,1,0,0,0
1113,6916,1,40,13,2,58,3.91,4.09,0,0,1,0,0,0,0,0,1,0,0
1235,1572,1,47,21,156,169,16.17,10.57,3.678,0,3,0,0,1,0,0,0,0,0
1293,303,1,82,27,0,16,2.3399999999999994,1.4200000000000002,0,0,4,0,0,0,0,0,0,1,0
1302,1444,1,45,12,28,360,17.389999999999997,10.940000000000001,0,0,6,0,1,0,0,0,0,0,0
1377,4856,1,65,10,262,109,9.059999999999997,6.729999999999998,0.18,0,2,1,0,0,0,0,0,0,0
1390,240,1,29,30,189,139,15.09,10.36,2.6994,0,6,0,1,0,0,0,0,0,0
1433,467,1,39,6,12,139,13.7,8.83,0,0,8,0,0,0,0,1,0,0,0
1455,7409,1,77,9,17,82,8.41,3.77,0,0,6,0,1,0,0,0,0,0,0
1463,340,1,60,20,36,91,11.25,7.6899999999999995,4.284000000000001,0,5,0,0,0,0,0,0,0,1
1476,1659,1,21,20,0,59,6.1000000000000005,5.4399999999999995,0,0,8,0,0,0,0,1,0,0,0
1504,6455,1,45,11,69,318,11.48,7.419999999999999,2.115,0,1,0,0,0,0,0,1,0,0
1588,3481,1,74,5,4,137,13.7,9.629999999999999,0.08,0,3,0,0,1,0,0,0,0,0
1674,9367,1,51,17,234,180,9.2,5.380000000000001,0,0,7,0,0,0,1,0,0,0,0
1690,1242,1,21,12,476,78,13.450000000000001,6,0,0,8,0,0,0,0,1,0,0,0
1716,1391,1,19,19,1980,199,13.620000000000001,8.1,1.4580000000000002,0,8,0,0,0,0,1,0,0,0
1718,3405,1,28,25,270,67,7.89,5.1499999999999995,0,0,7,0,0,0,1,0,0,0,0
1742,11099,1,30,14,5,71,8.290000000000001,6.93,3,0,4,0,0,0,0,0,0,1,0
1771,5473,1,44,11,7,103,8.760000000000002,6.789999999999999,0,0,4,0,0,0,0,0,0,1,0
1783,10324,1,45,14,35,132,6.58,4.67,0,0,2,1,0,0,0,0,0,0,0
1830,4515,1,60,1,0,53,9.85,5.55,0,1,6,0,1,0,0,0,0,0,0
1848,4825,1,77,12,57,232,15.870000000000001,9.77,3.0894,0,6,0,1,0,0,0,0,0,0
1855,5261,1,37,8,1061,114,30.06,8.219999999999999,3.681,0,3,0,0,1,0,0,0,0,0
1857,426,1,33,17,11,161,5.739999999999998,3.51,6.5794,0,2,1,0,0,0,0,0,0,0
1859,1495,1,19,1,18,98,11.5,6.42,1.069,1,6,0,1,0,0,0,0,0,0
1884,4502,1,46,21,0,57,7.46,5.109999999999999,0.1863,0,8,0,0,0,0,1,0,0,0
1906,9296,1,28,26,26,159,18.159999999999997,11.889999999999999,0,0,7,0,0,0,1,0,0,0,0
1931,2627,1,34,20,1,132,10.75,8.42,0,0,8,0,0,0,0,1,0,0,0
1970,4067,1,22,26,9,93,10.740000000000002,6.13,1.6192,0,5,0,0,0,0,0,0,0,1
2005,11155,1,42,28,200,187,10.379999999999999,5.609999999999999,0.194,0,3,0,0,1,0,0,0,0,0
2029,9254,1,82,24,325,132,14.680000000000003,6.84,3.0860000000000003,0,3,0,0,1,0,0,0,0,0
2147,9770,1,35,19,1566,77,7.3,4.63,0,0,8,0,0,0,0,1,0,0,0
2189,6627,1,61,1,621,110,18.4,5.16,1.332,1,1,0,0,0,0,0,1,0,0
2241,477,1,65,2,26,55,4.46,3.88,0,0,6,0,1,0,0,0,0,0,0
2246,3072,1,21,8,23,152,10.05,6.55,0,0,1,0,0,0,0,0,1,0,0
2257,9875,1,72,10,125,101,5.999999999999999,3.779999999999999,0.105,0,2,1,0,0,0,0,0,0,0
2259,8715,1,40,21,23,103,7.38,6.3,2.1726,0,8,0,0,0,0,1,0,0,0
2301,3302,1,38,26,715,77,18.17,4.31,0,0,1,0,0,0,0,0,1,0,0
2312,3949,1,70,8,0,71,5.380000000000001,5.79,0.08,0,1,0,0,0,0,0,1,0,0
2320,2663,1,61,26,253,324,21.74,11.370000000000001,3.5360000000000005,0,7,0,0,0,1,0,0,0,0
2332,4687,1,21,24,52,81,7.949999999999999,6.07,0.7128,0,5,0,0,0,0,0,0,0,1
2369,4838,1,59,6,88,192,9.81,6.49,0.06,0,3,0,0,1,0,0,0,0,0
2418,4048,1,27,23,28,136,8.559999999999999,5.86,0,0,5,0,0,0,0,0,0,0,1
2435,8806,1,52,22,15,663,16.02,7.209999999999999,1.2879999999999998,0,8,0,0,0,0,1,0,0,0
2471,128,1,37,23,1,97,10.04,6.86,1.2421,0,5,0,0,0,0,0,0,0,1
2512,9821,1,30,23,3,197,18.369999999999997,13.629999999999999,0,0,7,0,0,0,1,0,0,0,0
2537,11780,1,38,26,335,160,18.27,10.4,0.04,0,7,0,0,0,1,0,0,0,0
2543,6607,1,42,19,203,102,8.83,5.27,1.1880000000000002,0,8,0,0,0,0,1,0,0,0
2583,3027,1,24,30,2,148,18.959999999999997,10.62,2.1564,0,1,0,0,0,0,0,1,0,0
2667,10429,1,34,7,19,99,9.47,6.17,0,1,6,0,1,0,0,0,0,0,0
2848,4016,1,30,12,0,20,2.9800000000000004,2.68,0,0,8,0,0,0,0,1,0,0,0
